sample,experiment,genome,paired_end
SRX1025860,SRR2019245,hg38,TRUE
SRX1025861,SRR2019246,hg38,TRUE
SRX1025865,SRR2019250,hg38,TRUE
SRX1025866,SRR2019251,hg38,TRUE
SRX1025875,SRR2019260,hg38,TRUE
SRX1025876,SRR2019261,hg38,TRUE
SRX1025880,SRR2019265,hg38,TRUE
SRX1025881,SRR2019266,hg38,TRUE
SRX1025885,SRR2019270,hg38,FALSE
SRX1070685,SRR2075688,hg38,FALSE
SRX1070686,SRR2075689,hg38,FALSE
SRX2186999,SRR4291500,hg38,TRUE
SRX2187000,SRR4291502,hg38,TRUE
SRX2187001,SRR4291503,hg38,TRUE
SRX2187002,SRR4291504,hg38,TRUE
SRX2187003,SRR4291505,hg38,TRUE
SRX2187004,SRR4291506,hg38,TRUE
SRX2187005,SRR4291507,hg38,TRUE
SRX2187006,SRR4291508,hg38,TRUE
SRX2187007,SRR4291509,hg38,TRUE
SRX3084742,SRR5924169,hg38,FALSE
SRX3084743,SRR5924170,hg38,FALSE
SRX3084744,SRR5924171,hg38,FALSE
SRX3084745,SRR5924172,hg38,FALSE
SRX3581357,SRR6491541,hg38,TRUE
SRX3581358,SRR6491542,hg38,TRUE
SRX3581359,SRR6491543,hg38,TRUE
SRX534107,SRR1272457,hg38,FALSE
SRX534108,SRR1272458,hg38,FALSE
SRX534111,SRR1272461,hg38,FALSE
SRX534112,SRR1272462,hg38,FALSE
SRX534113,SRR1272463,hg38,FALSE
SRX534114,SRR1272464,hg38,FALSE
SRX534115,SRR1272465,hg38,FALSE
SRX534116,SRR1272466,hg38,FALSE
SRX534117,SRR1272467,hg38,FALSE
SRX534118,SRR1272468,hg38,FALSE
SRX5729077,SRR8949089,hg38,TRUE
SRX5729078,SRR8949090,hg38,TRUE
SRX5729079,SRR8949091,hg38,TRUE
SRX5729080,SRR8949092,hg38,TRUE
SRX5729081,SRR8949093,hg38,TRUE
SRX5729082,SRR8949094,hg38,TRUE
SRX5729089,SRR8949101,hg38,TRUE
SRX5729090,SRR8949102,hg38,TRUE
SRX5729091,SRR8949103,hg38,TRUE
SRX5729092,SRR8949104,hg38,TRUE
SRX6686238,SRR9937577,hg38,TRUE
SRX6686239,SRR9937578,hg38,TRUE
SRX8388987,SRR11838589,hg38,TRUE
SRX5729093,SRR8949105,hg38,TRUE
SRX5729094,SRR8949106,hg38,TRUE
SRX7805809,SRR11185391,hg38,TRUE
SRX7805810,SRR11185392,hg38,TRUE
SRX7805811,SRR11185393,hg38,TRUE
SRX7805812,SRR11185394,hg38,TRUE
SRX7805813,SRR11185395,hg38,TRUE
SRX7805814,SRR11185396,hg38,TRUE
SRX7805815,SRR11185397,hg38,TRUE
SRX7805816,SRR11185398,hg38,TRUE
SRX7805817,SRR11185399,hg38,TRUE
SRX7805818,SRR11185400,hg38,TRUE
SRX7805819,SRR11185401,hg38,TRUE
SRX7805820,SRR11185402,hg38,TRUE
SRX8122761,SRR11553004,hg38,TRUE
SRX8122762,SRR11553005,hg38,TRUE
SRX8122763,SRR11553006,hg38,TRUE
SRX8122764,SRR11553007,hg38,TRUE
SRX8122765,SRR11553008,hg38,TRUE
SRX8122766,SRR11553009,hg38,TRUE
SRX8122767,SRR11553010,hg38,TRUE
SRX8122768,SRR11553011,hg38,TRUE
SRX8908671,"SRR12412418,SRR12412419",hg38,TRUE
SRX8908672,"SRR12412420,SRR12412421",hg38,TRUE
SRX8908673,"SRR12412422,SRR12412423",hg38,TRUE
SRX8908674,"SRR12412424,SRR12412425",hg38,TRUE
SRX8908675,"SRR12412426,SRR12412427",hg38,TRUE
SRX8908676,"SRR12412428,SRR12412429",hg38,TRUE
SRX8908677,"SRR12412430,SRR12412431",hg38,TRUE
SRX8908678,"SRR12412432,SRR12412433",hg38,TRUE
SRX8908679,"SRR12412434,SRR12412435",hg38,TRUE
SRX8908680,"SRR12412436,SRR12412437",hg38,TRUE
SRX8908681,"SRR12412438,SRR12412439",hg38,TRUE
SRX8908682,"SRR12412440,SRR12412441",hg38,TRUE
