experiment,Group,Condition,PeakType,Replicate,control,ControlType
GSM2718663,HMEC,SA1,narrow,0,GSM2718666,Input
GSM2718664,HMEC,SA2,narrow,0,GSM2718666,Input
GSM2718665,HMEC,SMC1,narrow,0,GSM2718666,Input
GSM2718666,HMEC,Input,narrow,0,NA,NA
GSM733724,HMEC,CTCF,narrow,0,GSM733668,Input
GSM733668,HMEC,Input,narrow,0,NA,NA
GSM2718667,MCF10A,SA1,narrow,0,GSM2718671,Input
GSM2718668,MCF10A,SA2,narrow,0,GSM2718671,Input
GSM2718669,MCF10A,SMC1,narrow,0,GSM2718671,Input
GSM2718671,MCF10A,Input,narrow,0,NA,NA
GSM2599084,MCF10A,CTCF,narrow,1,GSM2599090,Input
GSM2599085,MCF10A,CTCF,narrow,2,GSM2599090,Input
GSM2599090,MCF10A,Input,narrow,0,NA,NA
GSM2718672,HCAEC,SA1,narrow,0,GSM2718675,Input
GSM2718673,HCAEC,SA2,narrow,0,GSM2718675,Input
GSM2718674,HCAEC,SMC1,narrow,0,GSM2718675,Input
GSM2718675,HCAEC,Input,narrow,0,NA,NA
GSM733716,HUVEC,CTCF,narrow,0,GSM733715,Input
GSM733715,HUVEC,Input,narrow,0,NA,NA
GSM3619485,HeLa_G1,SA1,narrow,0,NA,None
GSM3619486,HeLa_G1,SA2,narrow,0,NA,None
GSM3619487,HeLa_G1,CTCF,narrow,0,NA,None
GSM3619484,HeLa_G1,SMC3,narrow,0,NA,None
